City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.4187,19.2345,57.47,76,0,8.72,ZA,2022-04-26 21:15:23
1,Nador,35.174,-2.9287,61.05,82,40,3.44,MA,2022-04-26 21:17:52
2,Ilovlya,49.3033,43.9796,65.16,52,100,8.16,RU,2022-04-26 21:17:53
3,Marovoay,-16.1,46.6333,79.07,71,73,2.64,MG,2022-04-26 21:17:53
4,Rognan,67.0953,15.3878,30.34,80,100,4.29,NO,2022-04-26 21:17:54
5,Danilov,58.1908,40.1717,37.92,97,63,4.7,RU,2022-04-26 21:17:54
6,Srandakan,-7.9386,110.2506,76.75,90,91,3.87,ID,2022-04-26 21:17:54
7,Vaini,-21.2,-175.2,77.16,69,20,11.5,TO,2022-04-26 21:17:55
8,Port Alfred,-33.5906,26.891,58.17,91,10,4.0,ZA,2022-04-26 21:17:55
9,Punta Arenas,-53.15,-70.9167,41.11,65,40,5.75,CL,2022-04-26 21:14:01
10,Mataura,-46.1927,168.8643,52.48,99,93,2.15,NZ,2022-04-26 21:17:16
11,Palu,-0.8917,119.8707,75.07,94,100,3.36,ID,2022-04-26 21:17:56
12,Noumea,-22.2763,166.4572,73.99,99,100,10.92,NC,2022-04-26 21:17:56
13,Jinchang,38.4953,102.1739,49.62,16,100,5.48,CN,2022-04-26 21:17:57
14,Khatanga,71.9667,102.5,11.03,93,100,7.23,RU,2022-04-26 21:17:57
15,Yar-Sale,66.8333,70.8333,29.79,96,100,20.58,RU,2022-04-26 21:17:57
16,Butaritari,3.0707,172.7902,80.98,83,43,19.26,KI,2022-04-26 21:17:58
17,Ilulissat,69.2167,-51.1,35.62,80,100,6.91,GL,2022-04-26 21:17:58
18,Nome,64.5011,-165.4064,42.17,85,0,4.61,US,2022-04-26 21:17:59
19,New Norfolk,-42.7826,147.0587,48.7,87,100,2.01,AU,2022-04-26 21:17:59
20,Nikolskoye,59.7035,30.7861,39.87,79,83,6.89,RU,2022-04-26 21:18:00
21,Bambous Virieux,-20.3428,57.7575,76.21,94,40,9.22,MU,2022-04-26 21:18:00
22,Araouane,18.9048,-3.5265,81.14,23,3,10.45,ML,2022-04-26 21:18:00
23,Rikitea,-23.1203,-134.9692,77.94,75,100,22.08,PF,2022-04-26 21:18:01
24,Tessalit,20.1986,1.0114,80.47,17,0,9.08,ML,2022-04-26 21:18:01
25,Fortuna,40.5982,-124.1573,60.85,59,0,16.11,US,2022-04-26 21:17:53
26,Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.79,48,0,2.24,RU,2022-04-26 21:18:02
27,Jamestown,42.097,-79.2353,44.19,58,100,12.66,US,2022-04-26 21:18:02
28,Kapaa,22.0752,-159.319,80.58,90,100,12.66,US,2022-04-26 21:18:03
29,Itoman,26.1247,127.6694,77.77,96,75,14.97,JP,2022-04-26 21:18:03
30,Atuona,-9.8,-139.0333,79.23,73,17,21.79,PF,2022-04-26 21:17:47
31,Lagoa,39.05,-27.9833,61.32,87,88,22.86,PT,2022-04-26 21:17:59
32,Bluff,-46.6,168.3333,52.81,80,82,6.64,NZ,2022-04-26 21:18:04
33,Carnarvon,-24.8667,113.6333,69.87,68,75,11.5,AU,2022-04-26 21:17:31
34,Nouadhibou,20.931,-17.0347,66.18,82,0,14.97,MR,2022-04-26 21:18:05
35,Martapura,-3.4167,114.85,73.49,100,100,4.61,ID,2022-04-26 21:18:05
36,Hobart,-42.8794,147.3294,48.27,94,75,5.75,AU,2022-04-26 21:14:10
37,Rovaniemi,66.5,25.7167,24.21,63,0,4.61,FI,2022-04-26 21:18:06
38,Castro,-24.7911,-50.0119,67.6,83,35,4.32,BR,2022-04-26 21:18:06
39,Olafsvik,64.8945,-23.7142,42.84,77,100,5.14,IS,2022-04-26 21:18:07
40,Saint-Michel-Des-Saints,46.6834,-73.9159,44.94,80,100,5.79,CA,2022-04-26 21:18:07
41,Ushuaia,-54.8,-68.3,40.66,75,75,4.61,AR,2022-04-26 21:18:08
42,Aklavik,68.2191,-135.0107,30.38,94,76,5.88,CA,2022-04-26 21:18:08
