City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yeppoon,-23.1333,150.7333,67.78,80,99,14.03,AU,2022-04-26 19:03:17
1,Iqaluit,63.7506,-68.5145,5.7,55,39,11.01,CA,2022-04-26 19:03:17
2,Tuktoyaktuk,69.4541,-133.0374,28.6,90,100,3.89,CA,2022-04-26 19:03:17
3,Punta Arenas,-53.15,-70.9167,42.12,60,54,8.39,CL,2022-04-26 19:02:40
4,Pompeu,-19.2244,-44.9353,82.71,39,69,3.18,BR,2022-04-26 19:02:09
5,Hambantota,6.1241,81.1185,80.94,100,83,2.3,LK,2022-04-26 19:03:18
6,Jamestown,42.097,-79.2353,46.02,56,100,13.8,US,2022-04-26 19:03:19
7,Busselton,-33.65,115.3333,56.64,87,87,1.5,AU,2022-04-26 19:00:43
8,Mataura,-46.1927,168.8643,51.48,99,79,2.59,NZ,2022-04-26 19:03:19
9,New Norfolk,-42.7826,147.0587,49.71,89,100,1.9,AU,2022-04-26 19:03:20
10,Biloxi,30.396,-88.8853,80.6,90,100,11.36,US,2022-04-26 18:58:55
11,Geraldton,-28.7667,114.6,61.21,82,35,11.5,AU,2022-04-26 19:02:35
12,Mar Del Plata,-38.0023,-57.5575,67.87,89,100,14.0,AR,2022-04-26 19:03:21
13,Castro,-24.7911,-50.0119,77.34,64,26,4.99,BR,2022-04-26 19:03:21
14,Albany,42.6001,-73.9662,53.38,85,100,1.86,US,2022-04-26 19:00:22
15,Hilo,19.7297,-155.09,77.29,95,44,1.01,US,2022-04-26 18:58:50
16,Puerto Ayora,-0.7393,-90.3518,76.08,75,75,7.99,EC,2022-04-26 19:00:59
17,Narsaq,60.9167,-46.05,39.88,74,98,1.99,GL,2022-04-26 19:03:23
18,Hobart,-42.8794,147.3294,50.05,94,100,6.91,AU,2022-04-26 19:02:33
19,Souillac,-20.5167,57.5167,75.27,83,25,11.88,MU,2022-04-26 19:03:23
20,Thompson,55.7435,-97.8558,35.15,56,5,6.46,CA,2022-04-26 19:00:01
21,Avarua,-21.2078,-159.775,78.85,94,40,2.3,CK,2022-04-26 19:02:08
22,Rikitea,-23.1203,-134.9692,78.24,75,100,22.26,PF,2022-04-26 19:00:42
23,Arraial Do Cabo,-22.9661,-42.0278,77.14,86,0,17.09,BR,2022-04-26 19:01:53
24,Lasa,46.6166,10.7002,44.69,94,75,5.48,IT,2022-04-26 19:02:12
25,Lincoln,40.8,-96.667,71.15,30,0,12.66,US,2022-04-26 19:02:36
26,Saint-Philippe,-21.3585,55.7679,73.22,82,37,11.36,RE,2022-04-26 19:03:25
27,Labuhan,-6.8844,112.2051,78.78,87,100,4.52,ID,2022-04-26 19:03:25
28,Port Hardy,50.6996,-127.4199,46.33,69,38,3.6,CA,2022-04-26 19:03:26
29,Namatanai,-3.6667,152.4333,80.11,81,14,7.78,PG,2022-04-26 19:00:38
30,Airai,-8.9266,125.4092,58.68,89,99,0.69,TL,2022-04-26 18:58:49
31,Oistins,13.0667,-59.5333,79.88,78,100,7.52,BB,2022-04-26 19:03:27
32,Port Alfred,-33.5906,26.891,58.17,90,1,3.0,ZA,2022-04-26 19:03:27
33,Ambilobe,-13.2,49.05,74.61,82,92,3.96,MG,2022-04-26 19:03:28
34,Kahului,20.8947,-156.47,75.97,89,97,8.01,US,2022-04-26 19:03:28
35,East London,-33.0153,27.9116,63.14,77,4,13.94,ZA,2022-04-26 19:03:28
36,Ilulissat,69.2167,-51.1,33.37,98,100,6.76,GL,2022-04-26 19:00:12
37,Bredasdorp,-34.5322,20.0403,56.77,73,0,1.81,ZA,2022-04-26 19:03:29
38,Dikson,73.5069,80.5464,3.85,98,97,9.08,RU,2022-04-26 19:03:30
39,Tezu,27.9167,96.1667,69.91,58,85,5.03,IN,2022-04-26 19:00:29
40,Yellowknife,62.456,-114.3525,41.56,56,40,11.5,CA,2022-04-26 18:59:54
41,Cape Town,-33.9258,18.4232,61.27,72,0,15.99,ZA,2022-04-26 19:02:28
42,Chokurdakh,70.6333,147.9167,2.44,99,100,6.13,RU,2022-04-26 19:03:30
43,Borovoy,55.4333,86.0833,43.88,39,0,6.71,RU,2022-04-26 19:03:31
44,Butaritari,3.0707,172.7902,80.94,83,33,18.72,KI,2022-04-26 19:03:31
45,Port Elizabeth,-33.918,25.5701,57.09,83,18,11.77,ZA,2022-04-26 19:03:32
46,Sitio Novo Do Tocantins,-5.5183,-47.4611,81.99,79,60,5.12,BR,2022-04-26 19:03:32
47,Himeji,34.8167,134.7,69.6,98,100,6.17,JP,2022-04-26 19:03:32
48,Tasiilaq,65.6145,-37.6368,33.96,89,85,3.0,GL,2022-04-26 19:03:33
49,Passo De Camaragibe,-9.2368,-35.4901,78.35,73,21,6.76,BR,2022-04-26 19:04:33
50,Nikolskoye,59.7035,30.7861,42.87,78,87,7.87,RU,2022-04-26 19:04:33
51,Ribeira Grande,38.5167,-28.7,63.0,88,40,14.97,PT,2022-04-26 19:00:34
52,Sao Joao Da Barra,-21.6403,-41.0511,86.09,78,5,9.78,BR,2022-04-26 18:59:45
53,Saint Anthony,45.0205,-93.218,41.25,51,75,11.5,US,2022-04-26 19:04:34
54,Barrow,71.2906,-156.7887,11.79,93,100,10.54,US,2022-04-26 19:00:03
55,Provideniya,64.3833,-173.3,27.72,84,52,8.41,RU,2022-04-26 19:04:35
56,Khatanga,71.9667,102.5,10.13,94,100,6.67,RU,2022-04-26 19:04:35
57,Qaanaaq,77.484,-69.3632,17.01,75,21,3.31,GL,2022-04-26 19:00:45
58,Beisfjord,68.3751,17.5988,28.04,96,100,5.86,NO,2022-04-26 19:04:13
59,Alta Floresta,-9.8756,-56.0861,85.66,62,11,6.38,BR,2022-04-26 19:04:36
60,Lorengau,-2.0226,147.2712,81.41,82,57,6.2,PG,2022-04-26 19:04:36
61,Tuatapere,-46.1333,167.6833,51.69,90,100,6.93,NZ,2022-04-26 19:04:37
62,La Seyne-Sur-Mer,43.0982,5.8847,63.91,79,14,3.0,FR,2022-04-26 19:02:29
63,Solwezi,-12.1688,26.3894,61.11,86,80,2.82,ZM,2022-04-26 19:04:37
64,Aklavik,68.2191,-135.0107,29.52,92,78,5.75,CA,2022-04-26 19:04:38
65,Nuqui,5.7125,-77.2708,83.17,73,100,8.05,CO,2022-04-26 19:04:38
66,Dunedin,-45.8742,170.5036,54.81,77,84,11.01,NZ,2022-04-26 19:02:33
